2010-09-12 23:41:40 Notice: Notice (8): Undefined index: callbacks in [/Users/fokker/Documents/www/shopifyRestApiPlugin/cake/libs/model/model.php, line 2071]
2010-09-12 23:41:41 Notice: Notice (8): Undefined index: callbacks in [/Users/fokker/Documents/www/shopifyRestApiPlugin/cake/libs/model/model.php, line 2096]
2010-09-12 23:42:27 Notice: Notice (8): Undefined index: order in [/Users/fokker/Documents/www/shopifyRestApiPlugin/cake/libs/model/model.php, line 2066]
2010-09-12 23:42:27 Notice: Notice (8): Undefined index: order in [/Users/fokker/Documents/www/shopifyRestApiPlugin/cake/libs/model/model.php, line 2069]
2010-09-12 23:42:27 Notice: Notice (8): Undefined index: callbacks in [/Users/fokker/Documents/www/shopifyRestApiPlugin/cake/libs/model/model.php, line 2071]
2010-09-12 23:42:27 Notice: Notice (8): Undefined index: callbacks in [/Users/fokker/Documents/www/shopifyRestApiPlugin/cake/libs/model/model.php, line 2096]
2010-09-12 23:43:09 Notice: Notice (8): Undefined index: order in [/Users/fokker/Documents/www/shopifyRestApiPlugin/cake/libs/model/model.php, line 2066]
2010-09-12 23:43:09 Notice: Notice (8): Undefined index: order in [/Users/fokker/Documents/www/shopifyRestApiPlugin/cake/libs/model/model.php, line 2069]
2010-09-12 23:43:09 Notice: Notice (8): Undefined index: callbacks in [/Users/fokker/Documents/www/shopifyRestApiPlugin/cake/libs/model/model.php, line 2071]
2010-09-12 23:43:09 Notice: Notice (8): Undefined index: callbacks in [/Users/fokker/Documents/www/shopifyRestApiPlugin/cake/libs/model/model.php, line 2096]
2010-09-12 23:43:10 Notice: Notice (8): Undefined index: order in [/Users/fokker/Documents/www/shopifyRestApiPlugin/cake/libs/model/model.php, line 2066]
2010-09-12 23:43:10 Notice: Notice (8): Undefined index: order in [/Users/fokker/Documents/www/shopifyRestApiPlugin/cake/libs/model/model.php, line 2069]
2010-09-12 23:43:10 Notice: Notice (8): Undefined index: callbacks in [/Users/fokker/Documents/www/shopifyRestApiPlugin/cake/libs/model/model.php, line 2071]
2010-09-12 23:43:11 Notice: Notice (8): Undefined index: callbacks in [/Users/fokker/Documents/www/shopifyRestApiPlugin/cake/libs/model/model.php, line 2096]
2010-09-12 23:43:11 Notice: Notice (8): Undefined index: order in [/Users/fokker/Documents/www/shopifyRestApiPlugin/cake/libs/model/model.php, line 2066]
2010-09-12 23:43:11 Notice: Notice (8): Undefined index: order in [/Users/fokker/Documents/www/shopifyRestApiPlugin/cake/libs/model/model.php, line 2069]
2010-09-12 23:43:11 Notice: Notice (8): Undefined index: callbacks in [/Users/fokker/Documents/www/shopifyRestApiPlugin/cake/libs/model/model.php, line 2071]
